id,title,slug,description,required_skills,expected_budget,expected_duration,attachments,client_id,specialization_id,status,type,location_type,longitude,latitude,address,created_at,updated_at
1049,Rural Development Specialist,,Under direct supervision of the CARDs Rural Development Manager the Rural Development Specialist is responsible for creating and implementing rural development projects and technical assistance. This position is located within CARDs Rural Development Department.,,100.0,10,,1,1,,open,remote,,,,,
1050,Public Relations Coordinator,,Save the Children Armenia Field Office is seeking an appropriate candidate for a Public Relations Coordinator for all Field Office programs. The PRC is responsible for the production of communication materials for Save the Children Armenia Field Office. The communication and publicity materials include but are not limited to press releases brochures leaflets web site information program reports and success stories. The main users of the information materials are donors government and local authorities partner organizations Save the Children FO staff SC/headquarters and the public.  The PRC periodically updates AFO publicity materials and is responsible for drafting AFO quarterly contributions to newsletters for Save the Children USAID and the US Embassy and for maintaining regular communication about AFOs achievements with donors and other groups.,,100.0,10,,1,1,,open,remote,,,,,
1051,Gender and Youth Programs Specialist,,Under direct supervision of the CARDs Rural Development Manager the Gender and Youth Programs Specialist is responsible for creating and implementing rural gender and youth development projects.  This position is located within the CARDs Rural Development Department.,,100.0,10,,1,1,,open,remote,,,,,
1052,Controller,,The emphasis of this position is the implementation of all central controlling instruments and processes in our Armenian subsidiary as well as the consultation and support of the local resident managing director. The incumbent will pass a training period for a duration of 3 month which will take place in our German headquarter in Guetersloh/ Germany.,,100.0,10,,1,1,,open,remote,,,,,
1053,Flash Action Scripting Programmer/ HTML Coder,,Koan Technologies is looking for a skilled Flash Action Scripting Programmer for a long-term project requiring traveling to the Brussels Belgium.,,100.0,10,,1,1,,open,remote,,,,,
1054,Senior Lending Officer,,Cascade Credit CSJC universal credit organization a member of Cascade Capital Holdings CJSC is looking for a motivated self-driven highly professional candidate for the position of Senior Lending Officer.  We are seeking a well organized and hard working person able to work in a western-style office environment towards the achievement of team goals.,,100.0,10,,1,1,,open,remote,,,,,
1055,Mobile Medical Team Officer,,"SAMSA is looking for a Mobile Medical Team Officer MMT Officer for its ""Increase Access to Primary Health Care through Mobile Medical Teams"" project supported by USAID. The MMT Officer will work for SAMSA Yerevan office with travelling to Gegharkunik marz travel time - over 50%.",,100.0,10,,1,1,,open,remote,,,,,
1056,Information/Education/Communication (IEC) Assistant,,Under the direct supervision of the IEC Responsible the IEC Assistant shall assist the IEC Responsible in all tasks related to information education and communication.,,100.0,10,,1,1,,open,remote,,,,,
1057,Designer,,Boomerang Software LLC is currently seeking for a  committed individual to fill the vacancy of graphic and web designer position. The successful candidates should meet the below eligibility criteria:,,100.0,10,,1,1,,open,remote,,,,,
1058,MSF Cabinet Secretary/ Translator,,The Secretary/Translator is the key person in the day-to-day secretarial work and translating work in MSF Cabinets.,,100.0,10,,1,1,,open,remote,,,,,
1059,Local Consultant on International experience in Science,,The incumbent will work under the overall supervision of UNDP Portfolio Manager and direct supervision of Team Leader for Science Component of Strengthening Policy Development Capacities of the MES.,,100.0,10,,1,1,,open,remote,,,,,
1060,Administrative Assistant,,Under the direct supervision of the General Director the Administrative Assistant will be responsible for a variety of tasks essential to maintaining efficient office operation. This position requires ability to plan a complex range of duties in a constructive and autonomous manner.,,100.0,10,,1,1,,open,remote,,,,,
1061,Research Analysts,,Japonica Intersectoral seeks to hire 7 to 10 individuals for the positions of Research Analysts for its Yerevan Office. Research Analysts will be responsible for writing research reviews.,,100.0,10,,1,1,,open,remote,,,,,
1062,Air Tickets Seller,,We are looking for a responsible dedicated person with good skills of communication ready to fulfil the position of Air Tickets Seller in an air-tickets sales agency.,,100.0,10,,1,1,,open,remote,,,,,
1063,Store-Chain Manager/ Executive Director,,We are looking for an active and energetic person with good skills of communication and strong sense of responsibility to fill the position of Store-Chain Manager/ Executive Director in a clothing and accessories store.,,100.0,10,,1,1,,open,remote,,,,,
1064,Finance Director,,DPK Consulting seeks an Armenian national to serve as Finance Manager for an anticipated USAID anti-corruption project in Armenia.,,100.0,10,,1,1,,open,remote,,,,,
1065,Civil Society and Media Specialists,,DPK Consulting seeks Armenian nationals to serve as Civil Society Specialists for an anticipated USAID anticorruption project in Armenia.,,100.0,10,,1,1,,open,remote,,,,,
